1,549.68,1343.43,1112.93,3.91,5.7,2211.86,8311.32,41.69
2,606.07,1477.61,1237.5,9.35,13.61,2323.66,8713.6,43.94
3,548.95,1343.12,1117.05,3.91,5.69,2211.92,8306.69,41.66
4,548.7,1341.24,1118.03,3.91,5.7,2211.88,8312.35,41.68
5,536.1,1255.23,1033.59,7.05,9,1915.22,7994.94,36.48
6,554.77,1352.87,1117.01,5.48,7.97,2222.77,8340,41.44
7,641.83,1583.47,1393.89,14.62,21.58,2387.92,9050.5,46.94
8,549.05,1344.16,1110.77,3.91,5.69,2211.92,8307.28,41.6
9,549.55,1342.85,1101.67,3.91,5.7,2211.9,8307.81,41.44
10,536.35,1251.91,1041.37,7.05,9.01,1915.23,8005.83,36.24
11,606.88,1478.02,1233.07,9.35,13.61,2323.7,8709.62,43.86
12,554.53,1365.99,1122.73,5.48,7.98,2222.78,8337.46,41.45
13,536.32,1257.84,1040.87,7.05,9.01,1915.28,8000.07,36.42
14,607.32,1470.33,1242.41,9.35,13.61,2323.72,8714.35,43.92
15,536.12,1259.02,1037.54,7.05,9.01,1915.23,8004.94,36.43
16,606.15,1473.82,1246.43,9.35,13.61,2323.69,8716.98,43.84
17,603.8,1484.62,1293.36,10.52,15.46,2318.69,8764.12,44.94
18,549.42,1344.69,1113.86,3.91,5.7,2211.94,8309.02,41.7
19,606.65,1472.33,1237.74,9.35,13.61,2323.67,8710.08,43.98
20,606.46,1477.29,1235.14,9.35,13.61,2323.67,8713.63,43.98
21,641.66,1576.93,1397.94,14.62,21.58,2387.3,9033.57,47.14
22,607.15,1472.73,1234.59,9.35,13.61,2323.69,8702.43,43.9
23,641.9,1578.1,1391.32,14.62,21.58,2387.93,9042.88,47.05
24,536.08,1251.93,1032.85,7.05,9,1915.26,7998.69,36.44
25,549.12,1342.18,1115.02,3.91,5.7,2211.87,8305.97,41.7
26,606.21,1477.25,1241.63,9.35,13.61,2323.73,8707.52,43.72
27,604.01,1497.04,1291.49,10.52,15.47,2318.72,8768.73,45.07
28,642.56,1577.33,1399.05,14.62,21.58,2387.34,9036.65,47.17
29,535.93,1248.42,1040.8,7.05,9,1915.24,8006.98,36.51
30,606.61,1472.52,1237.99,9.35,13.61,2323.65,8706.74,43.89
31,607,1482.67,1234.68,9.35,13.61,2323.71,8709.24,43.84
32,554.87,1349.83,1117.86,5.48,7.97,2222.81,8346.2,41.33
33,549.57,1343.12,1109.7,3.91,5.7,2211.87,8312.4,41.71
34,554.64,1351.01,1122.88,5.48,7.98,2222.77,8335.33,41.37
35,604.18,1491.92,1296.02,10.52,15.47,2318.73,8769.63,44.93
36,548.75,1339.51,1111.43,3.91,5.7,2211.84,8298.92,41.66
37,555.46,1356.76,1115.28,5.48,7.97,2222.77,8334.09,41.36
38,642.27,1585.87,1402.1,14.62,21.58,2387.02,9033.85,47.43
39,554.81,1362.68,1119.13,5.48,7.97,2222.82,8340.85,41.51
40,554.91,1357.95,1110.61,5.48,7.98,2222.76,8339.62,41.49
41,536.55,1254.48,1036.99,7.05,9.01,1915.22,8001.9,36.38
42,536.24,1259.81,1035.5,7.05,9.01,1915.33,7998.72,36.54
43,536.31,1256.04,1028.79,7.05,9.01,1915.24,7994.03,36.42
44,535.85,1249.41,1039.1,7.05,9,1915.21,7998.64,36.34
45,536.41,1254.16,1042.28,7.05,9,1915.21,8005.92,36.29
46,642.87,1577.07,1404.99,14.62,21.58,2387.43,9036.5,47.14
47,536.94,1247.37,1041.73,7.05,9,1915.24,7997.19,36.34
48,549.29,1342.44,1111,3.91,5.7,2211.91,8305.73,41.66
49,606.71,1475.87,1236.21,9.35,13.61,2323.7,8710.23,43.8
50,555.12,1353,1114.88,5.48,7.98,2222.85,8335.41,41.43
51,604.11,1498.59,1303.71,10.52,15.47,2318.65,8773.48,45.03
52,549.39,1343.81,1111.75,3.91,5.7,2211.92,8300.69,41.51
53,606.82,1476.15,1235.37,9.35,13.61,2323.7,8713.12,43.87
54,548.85,1345.46,1108.95,3.91,5.7,2211.88,8311.53,41.8
55,549.35,1345.15,1115.92,3.91,5.7,2211.94,8308.57,41.56
56,605.96,1478.09,1241.52,9.35,13.61,2323.69,8713.43,44.08
57,642.24,1572.87,1401.95,14.62,21.58,2387.33,9034.22,47.08
